train_config,model,model_id,variant,shot,eval_stratum,eval_type,n_unknown,threshold,f1_macro,precision,recall,roc_auc,pr_auc,balanced_accuracy,mcc,fpr_at_95tpr,youdens_j,latency_p50_ms,latency_p95_ms,latency_p99_ms,emails_per_sec,total_tokens,privacy_tier
prompt_only,gpt4o,gpt-4o-mini,direct,zero_shot,stratum_i,cross,1,0.5050505050505051,0.5056903443692298,0.06714200831847891,0.9941348973607038,0.8944395264006935,0.06683409468878411,0.8944396541974129,0.22995746654495647,0.2052555889658779,0.7888793083948259,774.575,3807.746,12706.853400000073,1.291,7673389,tier_ii
prompt_only,gpt4o,gpt-4o-mini,direct,zero_shot,stratum_ii,cross,0,0.010101010101010102,0.9155314025801119,0.9061371841155235,0.9881889763779528,0.9001185845745185,0.9030813354775478,0.9001185845745185,0.8392313372263086,0.18795180722891566,0.8002371691490371,826.95,2365.1800000000003,6412.810400000003,1.209,379214,tier_ii
prompt_only,gpt4o,gpt-4o-mini,direct,zero_shot,stratum_iii,cross,0,0.010101010101010102,0.9318309380049323,0.8905693950177936,0.9871794871794872,0.9314685314685315,0.8856388646195155,0.9314685314685315,0.8693430877357883,0.12424242424242424,0.862937062937063,816.7149999999999,2432.5459999999966,6268.704400000003,1.224,770066,tier_ii
prompt_only,gpt4o,gpt-4o-mini,cot,zero_shot,stratum_i,cross,1,0.5050505050505051,0.36493188278403793,0.01765249537892791,0.5601173020527859,0.5484501644552083,0.01632855362376031,0.5484597492091619,0.023342065211204546,1.0,0.09691949841832387,5832.985000000001,9623.684999999998,13329.485900000018,0.171,14427409,tier_ii
prompt_only,gpt4o,gpt-4o-mini,cot,zero_shot,stratum_ii,cross,0,0.0,0.3929860752965446,0.6474086661002549,1.0,0.7087626094930904,0.767476703583196,0.5,0.0,1.0,0.41752521898618095,5334.26,8081.206,11300.000400000003,0.187,711143,tier_ii
prompt_only,gpt4o,gpt-4o-mini,cot,zero_shot,stratum_iii,cross,0,0.0,0.3359840954274354,0.5059880239520959,1.0,0.6251568943876635,0.5826022254436329,0.5,0.0,1.0,0.25031378877532723,5633.205,8144.590499999999,12169.90260000001,0.178,1404350,tier_ii
prompt_only,gpt4o,gpt-4o-mini,feature_grounded,zero_shot,stratum_i,cross,17,0.5050505050505051,0.5100976443352332,0.0694330320460148,0.9912023460410557,0.8968922010390641,0.06895100596750599,0.8968954598554082,0.2344909986702453,0.19741142633023925,0.7937909197108165,2434.31,3811.584999999999,5388.969300000017,0.411,13274100,tier_ii
prompt_only,gpt4o,gpt-4o-mini,feature_grounded,zero_shot,stratum_ii,cross,0,0.010101010101010102,0.8899891774891775,0.8941605839416058,0.9645669291338582,0.8774641874584954,0.8854174057503769,0.8774641874584954,0.7858817397548572,0.20963855421686747,0.7549283749169907,3102.8,4522.75,6440.452000000006,0.322,688955,tier_ii
prompt_only,gpt4o,gpt-4o-mini,feature_grounded,zero_shot,stratum_iii,cross,0,0.010101010101010102,0.8919584013543744,0.8316749585406302,0.9891518737672583,0.8920506843583766,0.8281418655618591,0.8920506843583766,0.800817743598479,0.20505050505050504,0.7841013687167533,3461.355,4774.4015,7493.323700000013,0.289,1331937,tier_ii
prompt_only,gpt4o,gpt-4o-mini,direct,four_shot,stratum_i,cross,0,0.010101010101010102,0.6436281527684129,0.19052987598647125,0.9912023460410557,0.9643116798405915,0.18898248177945404,0.9643116798405915,0.4204771129626733,0.06257898635987275,0.928623359681183,756.63,1381.1749999999993,3122.451400000013,1.322,14030993,tier_ii
prompt_only,gpt4o,gpt-4o-mini,direct,four_shot,stratum_ii,cross,0,0.010101010101010102,0.9360039659694237,0.9437340153452686,0.968503937007874,0.9311703506941151,0.9343312535973596,0.9312399203111659,0.8726670182419529,0.10602409638554217,0.8624798406223317,740.79,1413.3420000000006,2778.8476000000023,1.35,700535,tier_ii
prompt_only,gpt4o,gpt-4o-mini,direct,four_shot,stratum_iii,cross,0,0.9393939393939394,0.9411172366396248,0.9497991967871486,0.9329388560157791,0.9415580857888549,0.9204255498654792,0.9412169027553643,0.8823863411422725,1.0,0.8824338055107286,727.495,1310.8799999999997,2318.1887000000006,1.375,1317158,tier_ii
prompt_only,gpt4o,gpt-4o-mini,cot,four_shot,stratum_i,cross,0,0.010101010101010102,0.5703643259513939,0.11238997968855789,0.9736070381231672,0.9296718678653488,0.10981014037155673,0.9296718678653488,0.3101632992711554,0.11426330239246961,0.8593437357306976,3548.76,5516.622499999999,8159.484500000011,0.282,17087592,tier_ii
prompt_only,gpt4o,gpt-4o-mini,cot,four_shot,stratum_ii,cross,0,0.010101010101010102,0.930503351443341,0.9300873907615481,0.9776902887139107,0.9213752648388831,0.9237809100276347,0.9213752648388831,0.8635557647031666,0.13493975903614458,0.8427505296777662,3853.21,5944.546,7391.5612,0.26,893392,tier_ii
prompt_only,gpt4o,gpt-4o-mini,cot,four_shot,stratum_iii,cross,0,0.010101010101010102,0.9470673544142931,0.9348659003831418,0.9625246548323472,0.9469188930727392,0.9187935539291183,0.9469188930727392,0.8945598849190822,0.06868686868686869,0.8938377861454785,4022.1,6434.1799999999985,8388.385,0.249,1662828,tier_ii
prompt_only,gpt4o,gpt-4o-mini,feature_grounded,four_shot,stratum_i,cross,0,0.010101010101010102,0.538318010321172,0.08680917622523462,0.9765395894428153,0.9119417344085127,0.08511612187286581,0.9119417344085128,0.2667991898368156,0.15265612062578987,0.8238834688170253,2773.675,4420.4945,6228.8205000000025,0.361,19293142,tier_ii
prompt_only,gpt4o,gpt-4o-mini,feature_grounded,four_shot,stratum_ii,cross,0,0.010101010101010102,0.9031953735300378,0.914572864321608,0.9553805774278216,0.8957625778705374,0.9026521520650121,0.8957625778705374,0.8082528305349018,0.163855421686747,0.7915251557410745,3187.57,4687.9800000000005,5839.8616,0.314,999495,tier_ii
