train_config,model,eval_stratum,eval_type,threshold,f1_macro,precision,recall,roc_auc,pr_auc,balanced_accuracy,mcc,fpr_at_95tpr,youden_j,latency_p50_ms,latency_p95_ms,latency_p99_ms
stratum_i,distilbert,stratum_i,matched,0.787878787878788,0.984767167516024,0.9938461538461538,0.9472140762463344,0.9993298340035632,0.9912386582055842,0.9735634594418581,0.9698226752554912,8.715736261820717e-05,0.9884133104372731,2.2498108446598053,2.3152816109359264,2.3867920972406864
stratum_i,distilbert,stratum_i,matched,0.787878787878788,0.984767167516024,0.9938461538461538,0.9472140762463344,0.9993298340035632,0.9912386582055842,0.9735634594418581,0.9698226752554912,8.715736261820717e-05,0.9884133104372731,2.2498108446598053,2.3152816109359264,2.3867920972406864
stratum_i,distilbert,stratum_ii,cross,0.787878787878788,0.5042744999641552,0.995,0.26115485564304464,0.7717737090092653,0.8850946481673522,0.6293726085444139,0.32916343435934414,0.8,0.4695126964551118,2.2498108446598053,2.3152816109359264,2.3867920972406864
stratum_i,distilbert,stratum_iii,cross,0.787878787878788,0.6791625352350192,0.9385593220338984,0.4368836291913215,0.8372282987667602,0.8682453884002291,0.7037953499491961,0.4802423537126625,0.7858585858585858,0.5721833721833721,2.2498108446598053,2.3152816109359264,2.3867920972406864
stratum_i,roberta,stratum_i,matched,0.4444444444444445,0.9871093124095074,0.9939024390243902,0.9560117302052786,0.9995413375741397,0.9901768338815053,0.9779622864213302,0.9744081533367125,4.3578681309103584e-05,0.984291355050341,4.299449734389782,4.361205082386732,4.395866636186838
stratum_i,roberta,stratum_i,matched,0.4444444444444445,0.9871093124095074,0.9939024390243902,0.9560117302052786,0.9995413375741397,0.9901768338815053,0.9779622864213302,0.9744081533367125,4.3578681309103584e-05,0.984291355050341,4.299449734389782,4.361205082386732,4.395866636186838
stratum_i,roberta,stratum_ii,cross,0.4444444444444445,0.6009165782536887,1.0,0.38976377952755903,0.8205135502640484,0.9174219496236539,0.6948818897637795,0.42872958274197764,0.8939759036144578,0.6068557695348322,4.299449734389782,4.361205082386732,4.395866636186838
stratum_i,roberta,stratum_iii,cross,0.4444444444444445,0.7128050605002756,0.9365671641791045,0.49506903353057197,0.8394178471101548,0.8585085887333612,0.7303627995935689,0.5203954559532025,0.7585858585858586,0.5568405953021338,4.299449734389782,4.361205082386732,4.395866636186838
stratum_i,deberta,stratum_i,matched,0.42424242424242425,0.9871471747766519,0.990909090909091,0.9589442815249267,0.9994828705750226,0.9880798983573644,0.9794067727404997,0.9744292510832395,8.715736261820717e-05,0.9849142362606067,10.69644559174776,10.820190329104662,11.090554911643267
stratum_i,deberta,stratum_i,matched,0.42424242424242425,0.9871471747766519,0.990909090909091,0.9589442815249267,0.9994828705750226,0.9880798983573644,0.9794067727404997,0.9744292510832395,8.715736261820717e-05,0.9849142362606067,10.69644559174776,10.820190329104662,11.090554911643267
