epoch,train_loss,val_f1,val_roc_auc,t_star
1,0.012675,0.997945,0.999994,0.2626
2,0.000189,0.997299,0.99999,0.596
3,0.00011,0.998844,0.999997,0.2828
4,4e-06,0.998846,0.999998,0.1111
5,1e-06,0.998974,0.999999,0.1616
