epoch,train_loss,val_f1,val_roc_auc,t_star
1,0.012418,0.997821,0.999993,0.4646
2,0.000162,0.998332,0.999996,0.3838
3,7.1e-05,0.99859,0.999997,0.3939
4,4.9e-05,0.998845,0.999998,0.6667
5,2e-06,0.998973,0.999998,0.5455
