train_config,model,eval_stratum,eval_type,threshold,f1_macro,precision,recall,roc_auc,pr_auc,balanced_accuracy,mcc,fpr_at_95tpr,youden_j,latency_p50_ms,latency_p95_ms,latency_p99_ms
stratum_i,logistic_regression,stratum_i,matched,0.8383838383838385,0.9801973177708312,0.9846153846153847,0.9384164222873901,0.9996987831324178,0.9893970395227373,0.9690992644404223,0.9606803365618398,0.000740837582254761,0.9855806961521814,0.04100000660400838,0.08574001112719994,0.2497260094969533
stratum_i,logistic_regression,stratum_i,matched,0.8383838383838385,0.9801973177708312,0.9846153846153847,0.9384164222873901,0.9996987831324178,0.9893970395227373,0.9690992644404223,0.9606803365618398,0.000740837582254761,0.9855806961521814,0.04100000660400838,0.08574001112719994,0.2497260094969533
stratum_i,logistic_regression,stratum_ii,cross,0.8383838383838385,0.26067839195979897,0.0,0.0,0.23582202827056256,0.5190468573385323,0.5,0.0,0.980722891566265,0.02230971128608924,0.04100000660400838,0.08574001112719994,0.2497260094969533
stratum_i,logistic_regression,stratum_iii,cross,0.8383838383838385,0.3306613226452906,0.0,0.0,0.21435857589703744,0.3599583485943771,0.5,0.0,0.9868686868686869,0.0039447731755424065,0.04100000660400838,0.08574001112719994,0.2497260094969533
stratum_i,linear_svm,stratum_i,matched,1.0,0.637750524506935,0.18411967779056387,0.9384164222873901,0.9463264002335101,0.1765098027323674,0.9383109260955407,0.4006857675247779,0.06776484943565608,0.8873317284621314,0.03610001294873655,0.04404001520015296,0.06352701690047968
stratum_i,linear_svm,stratum_i,matched,1.0,0.637750524506935,0.18411967779056387,0.9384164222873901,0.9463264002335101,0.1765098027323674,0.9383109260955407,0.4006857675247779,0.06776484943565608,0.8873317284621314,0.03610001294873655,0.04404001520015296,0.06352701690047968
stratum_i,linear_svm,stratum_ii,cross,1.0,0.13778131641728658,0.23010752688172043,0.14041994750656167,0.13888467254846157,0.5888112620367599,0.13888467254846154,-0.7058476591425554,1.0,0.0,0.03610001294873655,0.04404001520015296,0.06352701690047968
stratum_i,linear_svm,stratum_iii,cross,1.0,0.4149386528741437,0.4955647545830869,0.8264299802761341,0.4824069093299863,0.49737392165305294,0.48240690932998626,-0.04845791667624832,1.0,0.0,0.03610001294873655,0.04404001520015296,0.06352701690047968
stratum_i,random_forest,stratum_i,matched,0.42424242424242425,0.9562302654913042,0.9831081081081081,0.8533724340175953,0.9978861783630697,0.9812380495876459,0.9265772703055248,0.9148157285640469,0.0011330457140366933,0.9825174087886059,36.77889998652972,39.49963000486605,56.08847800060174
stratum_i,random_forest,stratum_i,matched,0.42424242424242425,0.9562302654913042,0.9831081081081081,0.8533724340175953,0.9978861783630697,0.9812380495876459,0.9265772703055248,0.9148157285640469,0.0011330457140366933,0.9825174087886059,36.77889998652972,39.49963000486605,56.08847800060174
stratum_i,random_forest,stratum_ii,cross,0.42424242424242425,0.26067839195979897,0.0,0.0,0.4009075672769819,0.6178907734034992,0.5,0.0,0.9975903614457832,0.022888404009739745,36.77889998652972,39.49963000486605,56.08847800060174
stratum_i,random_forest,stratum_iii,cross,0.42424242424242425,0.3306613226452906,0.0,0.0,0.5573232323232323,0.5594518947334697,0.5,0.0,0.9424242424242424,0.09606120375351146,36.77889998652972,39.49963000486605,56.08847800060174
stratum_i,xgboost,stratum_i,matched,0.42424242424242425,0.9826618045501272,0.9789156626506024,0.9530791788856305,0.9997418506268492,0.9921641360271117,0.9763870640582334,0.9654125787421831,0.00017431472523641434,0.9908664962625211,5.946549994405359,6.082259977119975,6.161485999473371
stratum_i,xgboost,stratum_i,matched,0.42424242424242425,0.9826618045501272,0.9789156626506024,0.9530791788856305,0.9997418506268492,0.9921641360271117,0.9763870640582334,0.9654125787421831,0.00017431472523641434,0.9908664962625211,5.946549994405359,6.082259977119975,6.161485999473371
stratum_i,xgboost,stratum_ii,cross,0.42424242424242425,0.26067839195979897,0.0,0.0,0.6538974796825096,0.7633478326097347,0.5,0.0,0.8,0.2760395914366126,5.946549994405359,6.082259977119975,6.161485999473371
stratum_i,xgboost,stratum_iii,cross,0.42424242424242425,0.3349766462801609,0.5,0.004930966469428008,0.5279147490685951,0.5130250115350514,0.4999402307094615,-0.0008481684121850691,0.8808080808080808,0.08753212599366444,5.946549994405359,6.082259977119975,6.161485999473371
stratum_i,lightgbm,stratum_i,matched,0.888888888888889,0.9824041265796196,0.9937888198757764,0.9384164222873901,0.9992186508577015,0.9909825856782438,0.9691646324623859,0.9652166228755569,0.00021789340654551794,0.9902128160428845,0.40515000000596046,0.44027503172401333,0.4677420103689655
stratum_i,lightgbm,stratum_i,matched,0.888888888888889,0.9824041265796196,0.9937888198757764,0.9384164222873901,0.9992186508577015,0.9909825856782438,0.9691646324623859,0.9652166228755569,0.00021789340654551794,0.9902128160428845,0.40515000000596046,0.44027503172401333,0.4677420103689655
stratum_i,lightgbm,stratum_ii,cross,0.888888888888889,0.26067839195979897,0.0,0.0,0.6549157258957088,0.7391480585954354,0.5,0.0,0.7132530120481928,0.2759289125003953,0.40515000000596046,0.44027503172401333,0.4677420103689655
stratum_i,lightgbm,stratum_iii,cross,0.888888888888889,0.3306613226452906,0.0,0.0,0.5967654852270237,0.5451794732453481,0.5,0.0,0.8676767676767677,0.1947761640069332,0.40515000000596046,0.44027503172401333,0.4677420103689655
stratum_ii,logistic_regression,stratum_ii,matched,0.5454545454545455,0.9953551440299986,0.9986824769433466,0.994750656167979,0.9998671852765393,0.9999278500891836,0.9961705088068811,0.9907257436596861,0.0,0.9923410176137621,0.03390002530068159,0.04976997151970857,0.07248102687299245
stratum_ii,logistic_regression,stratum_i,matched,0.5454545454545455,0.03653557098112349,0.009808708002307931,0.6480938416422287,0.13270181306483753,0.008257230590585965,0.33792673081806385,-0.21955501512892192,0.9981696953850177,0.00024345275042182528,0.03390002530068159,0.04976997151970857,0.07248102687299245
stratum_ii,logistic_regression,stratum_ii,matched,0.5454545454545455,0.9953551440299986,0.9986824769433466,0.994750656167979,0.9998671852765393,0.9999278500891836,0.9961705088068811,0.9907257436596861,0.0,0.9923410176137621,0.03390002530068159,0.04976997151970857,0.07248102687299245
stratum_ii,logistic_regression,stratum_iii,cross,0.5454545454545455,0.4181906063692388,0.5234087322461862,0.9812623274161736,0.7859183551491244,0.7393220714675288,0.5330554061323293,0.14969227787796174,0.7535353535353535,0.5781423704500628,0.03390002530068159,0.04976997151970857,0.07248102687299245
stratum_ii,linear_svm,stratum_ii,matched,0.494949494949495,0.9915834586717072,0.9883268482490273,1.0,0.9915662650602409,0.9908972691807543,0.9891566265060241,0.9833073039236772,0.016867469879518072,0.983132530120482,0.03649998689070344,0.043119979090988615,0.06346401700284326
